Name,iL3,hL3,lL3
SRAE_2000489200,7.51,4.58,5.71
SRAE_2000489100,14.47,1.60,4.36
SRAE_2000489000,18.82,0.82,2.17
SRAE_2000488900,3.75,3.02,2.27
SRAE_2000488800,12.28,6.94,10.15
SRAE_2000488700,40.23,129.29,176.14
SRAE_2000488600,2.42,2.72,5.19
SRAE_2000488500,6.96,18.63,19.61
SRAE_2000488400,40.70,45.19,97.76
SRAE_2000488300,6.76,0.64,0.28
SRAE_2000488200,6.25,0.47,0.41
SRAE_2000488100,15.69,15.04,24.58
SRAE_2000488000,6.47,30.31,36.05
SRAE_2000487900,13.88,76.61,1950.73
SRAE_2000487800,4.52,2.44,6.03
SRAE_2000487700,20.08,138.09,169.48
SRAE_2000487650,21.46,20.40,25.42
SRAE_2000487600,33.52,26.66,42.41
SRAE_2000487500,10.20,40.44,98.40
SRAE_2000487400,6.14,5.24,4.46
SRAE_2000487300,3.70,3.52,8.14
SRAE_2000487200,2.33,2.39,0.00
SRAE_2000487100,109.12,144.27,292.13
SRAE_2000487000,34.57,56.26,76.60
SRAE_2000486900,2.13,1.03,1.32
SRAE_2000486800,3.49,5.02,9.43
SRAE_2000486700,31.71,38.04,39.08
SRAE_2000486600,6.99,7.83,10.93
SRAE_2000486500,57.09,44.11,56.63
SRAE_2000486400,19.37,30.66,45.19
SRAE_2000486300,2.34,9.99,15.95
SRAE_2000486200,1.69,10.57,17.58
SRAE_2000486100,1.86,159.43,518.02
SRAE_2000486000,1.59,13.67,49.22
SRAE_2000485900,8.21,31.43,61.43
SRAE_2000485800,6.34,33.77,227.39
SRAE_2000485700,8.09,22.87,21.41
SRAE_2000485600,1.05,83.71,321.89
SRAE_2000485500,18.05,4.88,15.43
SRAE_2000485400,31.36,56.84,104.84
SRAE_2000485300,12.04,24.53,37.63
SRAE_2000485200,19.87,42.32,70.21
SRAE_2000485100,40.75,204.49,299.19
SRAE_2000485000,21.80,114.48,193.92
SRAE_2000484900,9.12,0.72,0.91
SRAE_2000484800,11.76,21.25,35.53
SRAE_2000484700,9.32,38.54,44.19
SRAE_2000484600,8.28,13.28,25.57
SRAE_2000484500,12.73,3.09,6.47
SRAE_2000484400,21.30,78.64,113.41
SRAE_2000484300,36.04,24.47,33.05
SRAE_2000484200,25.86,37.46,86.42
SRAE_2000484100,16.52,15.19,33.69
SRAE_2000484000,7.05,18.81,36.59
SRAE_2000483900,64.69,108.24,176.53
SRAE_2000483800,33.35,102.51,174.64
SRAE_2000483700,4.20,1.04,1.21
SRAE_2000483600,10.79,113.32,180.88
SRAE_2000483500,23.19,1.66,7.14
SRAE_2000483400,9.35,13.65,24.04
SRAE_2000483300,16.12,4.38,5.12
SRAE_2000483200,19.66,46.02,82.03
SRAE_2000483100,5.77,1.04,0.00
SRAE_2000483000,8.18,4.78,3.52
SRAE_2000482900,11.28,17.99,17.80
SRAE_2000482800,9.84,7.78,20.95
SRAE_2000482710,4.36,57.64,156.36
SRAE_2000482600,21.60,18.59,23.16
SRAE_2000482500,4.63,10.69,16.09
SRAE_2000482400,4.74,46.12,132.08
SRAE_2000482300,14.01,40.01,115.75
SRAE_2000482200,0.90,0.59,0.00
SRAE_2000482100,7.00,12.16,33.93
SRAE_2000482000,19.37,4.24,16.79
SRAE_2000481900,45.84,21.27,17.30
SRAE_2000481800,3.94,37.15,48.85
SRAE_2000481700,72.05,0.92,42.11
SRAE_2000481600,8.87,334.57,447.41
SRAE_2000481500,7.74,62.58,61.57
SRAE_2000481400,0.84,13.98,6.25
SRAE_2000481300,11.90,19.99,21.07
SRAE_2000481200,36.72,143.68,89.88
SRAE_2000481100,8.91,0.59,0.00
SRAE_2000481000,17.46,4.85,0.79
